Subj,Ratings,ColorID,BodyNum,ShapeStr,ShapeC,Warmness,WarmnessC
30,0.4325,Y,1,Pointy,-0.5,4,1
30,0.8,H,1,Pointy,-0.5,3,0
30,0.231,G,1,Pointy,-0.5,2,-1
30,0.6385,C,1,Pointy,-0.5,1,-2
30,1,B,1,Pointy,-0.5,2,-1
30,1,P,1,Pointy,-0.5,3,0
31,0.807,R,1,Pointy,-0.5,4,1
31,0.3085,O,1,Pointy,-0.5,5,2
31,0.4375,Y,1,Pointy,-0.5,4,1
31,0.4025,H,1,Pointy,-0.5,3,0
31,0.7875,G,1,Pointy,-0.5,2,-1
31,0.6665,C,1,Pointy,-0.5,1,-2
31,0.554,B,1,Pointy,-0.5,2,-1
31,0.5225,P,1,Pointy,-0.5,3,0
32,0.6365,R,1,Pointy,-0.5,4,1
32,0.5415,O,1,Pointy,-0.5,5,2
32,0.7855,Y,1,Pointy,-0.5,4,1
32,0.621,H,1,Pointy,-0.5,3,0
32,0.2565,G,1,Pointy,-0.5,2,-1
32,0.352,C,1,Pointy,-0.5,1,-2
32,0.6,B,1,Pointy,-0.5,2,-1
32,0.6955,P,1,Pointy,-0.5,3,0
33,0.6995,R,1,Pointy,-0.5,4,1
33,0.7255,O,1,Pointy,-0.5,5,2
33,0.608,Y,1,Pointy,-0.5,4,1
33,0.4255,H,1,Pointy,-0.5,3,0
33,0.61,G,1,Pointy,-0.5,2,-1
33,0.5935,C,1,Pointy,-0.5,1,-2
33,0.4545,B,1,Pointy,-0.5,2,-1
33,0.646,P,1,Pointy,-0.5,3,0
34,0.4025,R,1,Pointy,-0.5,4,1
34,0.507,O,1,Pointy,-0.5,5,2
34,0.4825,Y,1,Pointy,-0.5,4,1
34,0.4735,H,1,Pointy,-0.5,3,0
34,0.4685,G,1,Pointy,-0.5,2,-1
34,0.606,C,1,Pointy,-0.5,1,-2
34,0.467,B,1,Pointy,-0.5,2,-1
34,0.6035,P,1,Pointy,-0.5,3,0
35,0.779,R,1,Pointy,-0.5,4,1
35,0.653,O,1,Pointy,-0.5,5,2
35,0.4215,Y,1,Pointy,-0.5,4,1
35,0.6,H,1,Pointy,-0.5,3,0
35,0.452,G,1,Pointy,-0.5,2,-1
35,0.378,C,1,Pointy,-0.5,1,-2
35,0.563,B,1,Pointy,-0.5,2,-1
35,0.636,P,1,Pointy,-0.5,3,0
36,0.656,R,1,Pointy,-0.5,4,1
36,0.3865,O,1,Pointy,-0.5,5,2
36,0.701,Y,1,Pointy,-0.5,4,1
36,0.498,H,1,Pointy,-0.5,3,0
36,0.361,G,1,Pointy,-0.5,2,-1
36,0.419,C,1,Pointy,-0.5,1,-2
36,0.5395,B,1,Pointy,-0.5,2,-1
36,0.744,P,1,Pointy,-0.5,3,0
37,0.3315,R,1,Pointy,-0.5,4,1
37,0.697,O,1,Pointy,-0.5,5,2
37,1,Y,1,Pointy,-0.5,4,1
37,0,H,1,Pointy,-0.5,3,0
37,0.3435,G,1,Pointy,-0.5,2,-1
37,0.8035,C,1,Pointy,-0.5,1,-2
37,0.524,B,1,Pointy,-0.5,2,-1
37,0.066,P,1,Pointy,-0.5,3,0
38,0.458,R,1,Pointy,-0.5,4,1
38,0.5185,O,1,Pointy,-0.5,5,2
38,0.9635,Y,1,Pointy,-0.5,4,1
38,0.4235,H,1,Pointy,-0.5,3,0
38,0.7595,G,1,Pointy,-0.5,2,-1
38,0.3535,C,1,Pointy,-0.5,1,-2
38,0.5085,B,1,Pointy,-0.5,2,-1
38,0.388,P,1,Pointy,-0.5,3,0
39,0.395,R,1,Pointy,-0.5,4,1
39,0.53,O,1,Pointy,-0.5,5,2
39,0.3935,Y,1,Pointy,-0.5,4,1
39,0.321,H,1,Pointy,-0.5,3,0
39,0.63,G,1,Pointy,-0.5,2,-1
39,0.6135,C,1,Pointy,-0.5,1,-2
39,0.478,B,1,Pointy,-0.5,2,-1
39,0.6775,P,1,Pointy,-0.5,3,0
40,0.8955,R,1,Pointy,-0.5,4,1
40,0.932,O,1,Pointy,-0.5,5,2
40,0.166,Y,1,Pointy,-0.5,4,1
40,0.7265,H,1,Pointy,-0.5,3,0
40,0.6215,G,1,Pointy,-0.5,2,-1
40,0.647,C,1,Pointy,-0.5,1,-2
40,0.687,B,1,Pointy,-0.5,2,-1
40,0.4215,P,1,Pointy,-0.5,3,0
41,0.53,R,1,Pointy,-0.5,4,1
41,0.567,O,1,Pointy,-0.5,5,2
41,0.211,Y,1,Pointy,-0.5,4,1
41,0.3735,H,1,Pointy,-0.5,3,0
41,0.231,G,1,Pointy,-0.5,2,-1
41,0.5675,C,1,Pointy,-0.5,1,-2
41,0.595,B,1,Pointy,-0.5,2,-1
41,0.426,P,1,Pointy,-0.5,3,0
42,0.263,R,1,Pointy,-0.5,4,1
42,0.676,O,1,Pointy,-0.5,5,2
42,0.841,Y,1,Pointy,-0.5,4,1
42,0.126,H,1,Pointy,-0.5,3,0
42,0.237,G,1,Pointy,-0.5,2,-1
42,0.855,C,1,Pointy,-0.5,1,-2
42,0.3095,B,1,Pointy,-0.5,2,-1
42,0.2045,P,1,Pointy,-0.5,3,0
43,0.2465,R,1,Pointy,-0.5,4,1
43,0.2325,O,1,Pointy,-0.5,5,2
43,0.519,Y,1,Pointy,-0.5,4,1
43,0.3605,H,1,Pointy,-0.5,3,0
43,0.603,G,1,Pointy,-0.5,2,-1
43,0.38,C,1,Pointy,-0.5,1,-2
43,0.3895,B,1,Pointy,-0.5,2,-1
43,0.518,P,1,Pointy,-0.5,3,0
45,0.633,R,1,Pointy,-0.5,4,1
45,0.378,O,1,Pointy,-0.5,5,2
45,0.978,Y,1,Pointy,-0.5,4,1
45,0.295,H,1,Pointy,-0.5,3,0
45,0.4195,G,1,Pointy,-0.5,2,-1
45,0.407,C,1,Pointy,-0.5,1,-2
45,0.565,B,1,Pointy,-0.5,2,-1
45,0.5785,P,1,Pointy,-0.5,3,0
46,0.5855,R,1,Pointy,-0.5,4,1
46,0.3745,O,1,Pointy,-0.5,5,2
46,0.772,Y,1,Pointy,-0.5,4,1
46,0.611,H,1,Pointy,-0.5,3,0
46,0.741,G,1,Pointy,-0.5,2,-1
46,0.513,C,1,Pointy,-0.5,1,-2
46,0.51,B,1,Pointy,-0.5,2,-1
46,0.321,P,1,Pointy,-0.5,3,0
47,0.6715,R,1,Pointy,-0.5,4,1
47,0.8645,O,1,Pointy,-0.5,5,2
47,0.573,Y,1,Pointy,-0.5,4,1
47,0.6755,H,1,Pointy,-0.5,3,0
47,0.3795,G,1,Pointy,-0.5,2,-1
47,0.5445,C,1,Pointy,-0.5,1,-2
47,0.538,B,1,Pointy,-0.5,2,-1
47,0.546,P,1,Pointy,-0.5,3,0
48,0.5625,R,1,Pointy,-0.5,4,1
48,0.4375,O,1,Pointy,-0.5,5,2
48,0.6085,Y,1,Pointy,-0.5,4,1
48,0.217,H,1,Pointy,-0.5,3,0
48,0.455,G,1,Pointy,-0.5,2,-1
48,0.2965,C,1,Pointy,-0.5,1,-2
48,0.6655,B,1,Pointy,-0.5,2,-1
48,0.7315,P,1,Pointy,-0.5,3,0
49,0.041,R,1,Pointy,-0.5,4,1
49,0.256,O,1,Pointy,-0.5,5,2
49,0.751,Y,1,Pointy,-0.5,4,1
49,0.619,H,1,Pointy,-0.5,3,0
49,0.5855,G,1,Pointy,-0.5,2,-1
49,0.481,C,1,Pointy,-0.5,1,-2
49,0.5635,B,1,Pointy,-0.5,2,-1
49,0.536,P,1,Pointy,-0.5,3,0
50,0.6505,R,1,Pointy,-0.5,4,1
50,0.445,O,1,Pointy,-0.5,5,2
50,0.699,Y,1,Pointy,-0.5,4,1
50,0.6265,H,1,Pointy,-0.5,3,0
50,0.7475,G,1,Pointy,-0.5,2,-1
50,0.5335,C,1,Pointy,-0.5,1,-2
50,0.416,B,1,Pointy,-0.5,2,-1
50,0.5135,P,1,Pointy,-0.5,3,0
51,0.5735,R,1,Pointy,-0.5,4,1
51,0.549,O,1,Pointy,-0.5,5,2
51,0.649,Y,1,Pointy,-0.5,4,1
51,0.534,H,1,Pointy,-0.5,3,0
51,0.6905,G,1,Pointy,-0.5,2,-1
51,0.724,C,1,Pointy,-0.5,1,-2
51,0.434,B,1,Pointy,-0.5,2,-1
51,0.4825,P,1,Pointy,-0.5,3,0
53,0.6595,R,1,Pointy,-0.5,4,1
53,0.5555,O,1,Pointy,-0.5,5,2
53,0.143,Y,1,Pointy,-0.5,4,1
53,0.3275,H,1,Pointy,-0.5,3,0
53,0.6115,G,1,Pointy,-0.5,2,-1
53,0.689,C,1,Pointy,-0.5,1,-2
53,0.5225,B,1,Pointy,-0.5,2,-1
53,0.253,P,1,Pointy,-0.5,3,0
54,0.449,R,1,Pointy,-0.5,4,1
54,0.6375,O,1,Pointy,-0.5,5,2
54,0.6935,Y,1,Pointy,-0.5,4,1
54,0.608,H,1,Pointy,-0.5,3,0
54,0.6145,G,1,Pointy,-0.5,2,-1
54,0.4115,C,1,Pointy,-0.5,1,-2
54,0.678,B,1,Pointy,-0.5,2,-1
54,0.6285,P,1,Pointy,-0.5,3,0
55,0.564,R,1,Pointy,-0.5,4,1
55,0.3775,O,1,Pointy,-0.5,5,2
55,0.354,Y,1,Pointy,-0.5,4,1
55,0.2315,H,1,Pointy,-0.5,3,0
55,0.7125,G,1,Pointy,-0.5,2,-1
55,0.65,C,1,Pointy,-0.5,1,-2
55,0.4725,B,1,Pointy,-0.5,2,-1
55,0.296,P,1,Pointy,-0.5,3,0
56,0.234,R,1,Pointy,-0.5,4,1
56,0.3915,O,1,Pointy,-0.5,5,2
56,0.0545,Y,1,Pointy,-0.5,4,1
56,0.3355,H,1,Pointy,-0.5,3,0
56,0.642,G,1,Pointy,-0.5,2,-1
56,0.9155,C,1,Pointy,-0.5,1,-2
56,0.8475,B,1,Pointy,-0.5,2,-1
56,0.861,P,1,Pointy,-0.5,3,0
57,1,R,1,Pointy,-0.5,4,1
57,0.979,O,1,Pointy,-0.5,5,2
57,0.808,Y,1,Pointy,-0.5,4,1
57,0.567,H,1,Pointy,-0.5,3,0
57,0.3495,G,1,Pointy,-0.5,2,-1
57,0.7075,C,1,Pointy,-0.5,1,-2
57,0.788,B,1,Pointy,-0.5,2,-1
57,1,P,1,Pointy,-0.5,3,0
58,0.4535,R,1,Pointy,-0.5,4,1
58,0.4785,O,1,Pointy,-0.5,5,2
58,0.371,Y,1,Pointy,-0.5,4,1
58,0.304,H,1,Pointy,-0.5,3,0
58,0.6205,G,1,Pointy,-0.5,2,-1
58,0.6005,C,1,Pointy,-0.5,1,-2
58,0.7055,B,1,Pointy,-0.5,2,-1
58,0.651,P,1,Pointy,-0.5,3,0
59,0.3535,R,1,Pointy,-0.5,4,1
59,0.346,O,1,Pointy,-0.5,5,2
59,0.6405,Y,1,Pointy,-0.5,4,1
59,0.031,H,1,Pointy,-0.5,3,0
59,0.711,G,1,Pointy,-0.5,2,-1
59,0.9355,C,1,Pointy,-0.5,1,-2
59,0.555,B,1,Pointy,-0.5,2,-1
59,0.833,P,1,Pointy,-0.5,3,0
2,0.7745,R,2,Pointy,-0.5,4,1
2,0.4805,O,2,Pointy,-0.5,5,2
2,0.553,Y,2,Pointy,-0.5,4,1
2,0.579,H,2,Pointy,-0.5,3,0
2,0.2915,G,2,Pointy,-0.5,2,-1
2,0.5735,C,2,Pointy,-0.5,1,-2
2,0.39,B,2,Pointy,-0.5,2,-1
2,0.4105,P,2,Pointy,-0.5,3,0
3,0.5015,R,2,Pointy,-0.5,4,1
3,0.516,O,2,Pointy,-0.5,5,2
3,0.278,Y,2,Pointy,-0.5,4,1
3,0.5985,H,2,Pointy,-0.5,3,0
3,0.3775,G,2,Pointy,-0.5,2,-1
3,0.566,C,2,Pointy,-0.5,1,-2
3,0.57,B,2,Pointy,-0.5,2,-1
3,0.6955,P,2,Pointy,-0.5,3,0
6,0.49,R,2,Pointy,-0.5,4,1
6,0.503,O,2,Pointy,-0.5,5,2
6,0.427,Y,2,Pointy,-0.5,4,1
6,0.542,H,2,Pointy,-0.5,3,0
6,0.46,G,2,Pointy,-0.5,2,-1
6,0.408,C,2,Pointy,-0.5,1,-2
6,0.599,B,2,Pointy,-0.5,2,-1
6,0.54,P,2,Pointy,-0.5,3,0
7,0.2485,R,2,Pointy,-0.5,4,1
7,0.2625,O,2,Pointy,-0.5,5,2
7,0.534,Y,2,Pointy,-0.5,4,1
7,0.244,H,2,Pointy,-0.5,3,0
7,0.546,G,2,Pointy,-0.5,2,-1
7,0.715,C,2,Pointy,-0.5,1,-2
7,0.455,B,2,Pointy,-0.5,2,-1
7,0.7165,P,2,Pointy,-0.5,3,0
8,0.6195,R,2,Pointy,-0.5,4,1
8,0.4985,O,2,Pointy,-0.5,5,2
8,0.4545,Y,2,Pointy,-0.5,4,1
8,0.287,H,2,Pointy,-0.5,3,0
8,0.351,G,2,Pointy,-0.5,2,-1
8,0.572,C,2,Pointy,-0.5,1,-2
8,0.3685,B,2,Pointy,-0.5,2,-1
8,0.626,P,2,Pointy,-0.5,3,0
9,0.5885,R,2,Pointy,-0.5,4,1
9,0.5355,O,2,Pointy,-0.5,5,2
9,0.568,Y,2,Pointy,-0.5,4,1
9,0.5005,H,2,Pointy,-0.5,3,0
9,0.2955,G,2,Pointy,-0.5,2,-1
9,0.606,C,2,Pointy,-0.5,1,-2
9,0.546,B,2,Pointy,-0.5,2,-1
9,0.5495,P,2,Pointy,-0.5,3,0
10,0.9905,R,2,Pointy,-0.5,4,1
10,0.9825,O,2,Pointy,-0.5,5,2
10,0.9825,Y,2,Pointy,-0.5,4,1
10,0.547,H,2,Pointy,-0.5,3,0
10,0.4025,G,2,Pointy,-0.5,2,-1
10,0.4305,C,2,Pointy,-0.5,1,-2
10,0.699,B,2,Pointy,-0.5,2,-1
10,0.543,P,2,Pointy,-0.5,3,0
11,0.508,R,2,Pointy,-0.5,4,1
11,0.3975,O,2,Pointy,-0.5,5,2
11,0.192,Y,2,Pointy,-0.5,4,1
11,0.63,H,2,Pointy,-0.5,3,0
11,0.2715,G,2,Pointy,-0.5,2,-1
11,0.654,C,2,Pointy,-0.5,1,-2
11,0.611,B,2,Pointy,-0.5,2,-1
11,0.6025,P,2,Pointy,-0.5,3,0
12,0.8,R,2,Pointy,-0.5,4,1
12,0.728,O,2,Pointy,-0.5,5,2
12,0.635,Y,2,Pointy,-0.5,4,1
12,0.7045,H,2,Pointy,-0.5,3,0
12,0.691,G,2,Pointy,-0.5,2,-1
12,0.5685,C,2,Pointy,-0.5,1,-2
12,0.409,B,2,Pointy,-0.5,2,-1
12,0.5295,P,2,Pointy,-0.5,3,0
13,0.781,R,2,Pointy,-0.5,4,1
13,0.371,O,2,Pointy,-0.5,5,2
13,0.7875,Y,2,Pointy,-0.5,4,1
13,0.3255,H,2,Pointy,-0.5,3,0
13,0.7635,G,2,Pointy,-0.5,2,-1
13,0.752,C,2,Pointy,-0.5,1,-2
13,0.4915,B,2,Pointy,-0.5,2,-1
13,0.3945,P,2,Pointy,-0.5,3,0
14,0.3625,R,2,Pointy,-0.5,4,1
14,0.3965,O,2,Pointy,-0.5,5,2
14,0.3115,Y,2,Pointy,-0.5,4,1
14,0.3375,H,2,Pointy,-0.5,3,0
14,0.568,G,2,Pointy,-0.5,2,-1
14,0.338,C,2,Pointy,-0.5,1,-2
14,0.483,B,2,Pointy,-0.5,2,-1
14,0.296,P,2,Pointy,-0.5,3,0
15,0.1645,R,2,Pointy,-0.5,4,1
15,0.234,O,2,Pointy,-0.5,5,2
15,0.342,Y,2,Pointy,-0.5,4,1
15,0.7995,H,2,Pointy,-0.5,3,0
15,0.2355,G,2,Pointy,-0.5,2,-1
15,0.9015,C,2,Pointy,-0.5,1,-2
15,0.9005,B,2,Pointy,-0.5,2,-1
15,0.856,P,2,Pointy,-0.5,3,0
16,0.43,R,2,Pointy,-0.5,4,1
16,0.4775,O,2,Pointy,-0.5,5,2
16,0.503,Y,2,Pointy,-0.5,4,1
16,0.5255,H,2,Pointy,-0.5,3,0
16,0.446,G,2,Pointy,-0.5,2,-1
16,0.612,C,2,Pointy,-0.5,1,-2
16,0.4675,B,2,Pointy,-0.5,2,-1
16,0.5675,P,2,Pointy,-0.5,3,0
17,0.5445,R,2,Pointy,-0.5,4,1
17,0.5065,O,2,Pointy,-0.5,5,2
17,0.357,Y,2,Pointy,-0.5,4,1
17,0.501,H,2,Pointy,-0.5,3,0
17,0.3975,G,2,Pointy,-0.5,2,-1
17,0.6465,C,2,Pointy,-0.5,1,-2
17,0.633,B,2,Pointy,-0.5,2,-1
17,0.634,P,2,Pointy,-0.5,3,0
18,0.2675,R,2,Pointy,-0.5,4,1
18,0.281,O,2,Pointy,-0.5,5,2
18,0.675,Y,2,Pointy,-0.5,4,1
18,0.433,H,2,Pointy,-0.5,3,0
18,0.3945,G,2,Pointy,-0.5,2,-1
18,0.263,C,2,Pointy,-0.5,1,-2
18,0.209,B,2,Pointy,-0.5,2,-1
18,0.3225,P,2,Pointy,-0.5,3,0
19,0.6095,R,2,Pointy,-0.5,4,1
19,0.7795,O,2,Pointy,-0.5,5,2
19,0.665,Y,2,Pointy,-0.5,4,1
