Subj,ShapeNameC,ShapeColorC,Condition,Trial,TrialBin,ResponseTime,bodyShape,Response,Correct,totalCorrect,NoticedColorStr,NoticedColorC
2,0.5,-0.5,2,165,5,621,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,166,5,588,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,167,5,603,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,168,5,570,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,169,5,699,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,170,5,614,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,171,5,1062,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,172,5,611,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,173,5,642,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,174,5,639,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,175,5,685,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,176,5,793,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,177,5,625,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,178,5,1200,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,179,5,1336,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,180,5,537,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,181,5,571,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,182,5,684,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,183,5,648,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,184,5,630,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,185,5,564,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,186,5,470,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,187,5,569,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,188,5,602,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,189,5,505,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,190,5,541,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,191,5,591,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,192,5,543,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,193,5,769,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,194,5,616,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,195,5,583,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,196,5,551,1,1,1,235,noticers,0.5
