Subj,Ratings,ColorID,Sat.Light,Warmness,WarmnessC,NameStr,NameC
232,0.33375,B,4,2,-1,FILK,0.5
232,0.33375,B,4,2,-1,FILK,0.5
275,0.31375,B,2,2,-1,SLUB,-0.5
275,0.31375,B,2,2,-1,SLUB,-0.5
275,0.31375,B,2,2,-1,SLUB,-0.5
275,0.31375,B,2,2,-1,SLUB,-0.5
271,0.25125,B,4,2,-1,FILK,0.5
271,0.25125,B,4,2,-1,FILK,0.5
271,0.25125,B,4,2,-1,FILK,0.5
271,0.25125,B,4,2,-1,FILK,0.5
248,0.56125,B,1,2,-1,FILK,0.5
248,0.56125,B,1,2,-1,FILK,0.5
248,0.56125,B,1,2,-1,FILK,0.5
248,0.56125,B,1,2,-1,FILK,0.5
275,0.86625,B,4,2,-1,SLUB,-0.5
275,0.86625,B,4,2,-1,SLUB,-0.5
275,0.86625,B,4,2,-1,SLUB,-0.5
275,0.86625,B,4,2,-1,SLUB,-0.5
232,0.20625,B,1,2,-1,SLUB,-0.5
232,0.20625,B,1,2,-1,SLUB,-0.5
232,0.20625,B,1,2,-1,SLUB,-0.5
232,0.20625,B,1,2,-1,SLUB,-0.5
228,0.10125,B,2,2,-1,SLUB,-0.5
228,0.10125,B,2,2,-1,SLUB,-0.5
228,0.10125,B,2,2,-1,SLUB,-0.5
228,0.10125,B,2,2,-1,SLUB,-0.5
236,0.2325,B,4,2,-1,FILK,0.5
236,0.2325,B,4,2,-1,FILK,0.5
236,0.2325,B,4,2,-1,FILK,0.5
236,0.2325,B,4,2,-1,FILK,0.5
233,0.95125,B,1,2,-1,FILK,0.5
233,0.95125,B,1,2,-1,FILK,0.5
233,0.95125,B,1,2,-1,FILK,0.5
233,0.95125,B,1,2,-1,FILK,0.5
275,0.56875,B,3,2,-1,SLUB,-0.5
275,0.56875,B,3,2,-1,SLUB,-0.5
275,0.56875,B,3,2,-1,SLUB,-0.5
275,0.56875,B,3,2,-1,SLUB,-0.5
273,0.74,B,1,2,-1,FILK,0.5
273,0.74,B,1,2,-1,FILK,0.5
